ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes
715898,5,S,7,37,40032.0,.71,117.28,33.880183,-118.02178700000002,0.43,ML,3
715918,5,N,7,37,52526.0,6.2,122.833,33.93311,-118.09100500000001,1.075,ML,3
715920,5,S,7,37,52526.0,6.64,123.21,33.938544,-118.09494099999999,1.29,ML,4
715929,5,S,7,37,19766.0,9.5,126.07,33.971707,-118.12309499999999,0.47,ML,4
715930,5,N,7,37,19766.0,9.5,126.133,33.971763,-118.122905,0.505,ML,4
715933,5,N,7,37,14974.0,10.33,126.963,33.981839,-118.130679,0.425,ML,4
715938,5,N,7,37,14974.0,12.18,128.813,34.002541,-118.150997,0.545,ML,4
715944,5,N,7,37,14974.0,13.35,129.983,34.013676000000004,-118.166091,0.32299999999999995,ML,4
715947,5,S,7,37,14974.0,13.67,130.24,34.015325,-118.17126999999999,0.495,ML,3
715996,5,S,7,37,44000.0,37.3,153.87,34.243318,-118.42108,0.275,ML,6
716007,5,N,7,37,,R46.77,163.18,34.341625,-118.526002,1.75,ML,5
716010,5,S,7,37,69088.0,R49.5,165.847,34.368149,-118.55885,0.6,ML,4
716016,5,S,7,37,69088.0,R54.2,170.547,34.431273,-118.588555,0.65,ML,4
716017,5,N,7,37,69088.0,R54.2,170.61,34.43153,-118.588374,0.53,ML,4
716023,5,N,7,37,,R66.1,182.44,34.571045,-118.689102,5.0,ML,4
716028,10,E,7,37,44000.0,S.52,16.759,34.055167,-118.21653500000001,0.29100000000000004,ML,3
716032,10,W,7,37,44000.0,R6.73,4.575,34.030891,-118.411427,0.38,ML,4
716036,10,E,7,37,44000.0,R8.36,6.205,34.034310999999995,-118.38488400000001,0.38,ML,5
716047,10,E,7,37,44000.0,R10.7,8.545,34.034363,-118.345701,0.265,ML,4
716050,10,E,7,37,44000.0,R11.06,8.905,34.034677,-118.339444,0.42,ML,4
716057,10,E,7,37,44000.0,R12.58,10.425,34.036953000000004,-118.313131,0.25,ML,4
716063,10,W,7,37,44000.0,R13.53,11.375,34.037129,-118.296691,0.225,ML,4
716067,10,E,7,37,44000.0,18.53,17.03,34.054801,-118.211859,0.125,ML,3
716069,10,E,7,37,44000.0,18.75,17.25,34.053806,-118.20821399999998,0.25,ML,4
716072,10,E,7,37,44000.0,19.03,17.53,34.054109999999994,-118.203478,0.28,ML,6
716075,10,E,7,37,44000.0,19.66,18.16,34.055306,-118.19268899999999,0.37,ML,6
716076,10,W,7,37,44000.0,19.66,18.16,34.055572999999995,-118.192729,0.37,ML,6
716078,10,E,7,37,44000.0,20.05,18.55,34.055285,-118.185874,0.5,ML,6
716081,10,E,7,37,,20.79,19.29,34.059959,-118.174416,0.19,ML,4
716084,10,W,7,37,48914.0,21.25,19.75,34.061442,-118.16726799999999,0.34,ML,4
716085,10,E,7,37,48914.0,21.54,20.04,34.061918,-118.162504,0.38,ML,4
716087,10,E,7,37,884.0,22.01,20.51,34.065882,-118.155495,0.428,ML,5
716088,10,W,7,37,884.0,22.03,20.53,34.066326000000004,-118.155441,0.29,ML,4
716091,10,W,7,37,884.0,22.82,21.32,34.071793,-118.143409,0.495,ML,4
716092,10,E,7,37,884.0,22.91,21.41,34.071251000000004,-118.141723,0.446,ML,4
716101,10,W,7,37,884.0,24.31,22.81,34.071889,-118.117349,0.38,ML,4
716126,10,E,7,37,22230.0,28.09,26.59,34.071934000000006,-118.05153600000001,0.475,ML,4
716142,210,E,7,37,30014.0,R43.3,43.589,34.117595,-117.84414199999999,0.8,ML,4
716143,210,E,7,37,30014.0,R44.2,44.489,34.120911,-117.82923400000001,0.65,ML,4
716146,10,W,7,37,84200.0,34.9,33.4,34.072549,-117.935381,0.5,ML,5
716152,10,E,7,37,84200.0,35.9,34.4,34.072202000000004,-117.91796399999998,0.48,ML,4
716153,10,W,7,37,84200.0,35.9,34.4,34.072356,-117.917965,0.48,ML,5
716181,10,E,7,37,58072.0,42.76,41.26,34.067443,-117.801629,0.89,ML,5
716187,10,E,7,37,58072.0,44.68,43.18,34.071766,-117.76975800000001,0.515,ML,4
716193,10,W,7,37,58072.0,47.24,45.74,34.081731,-117.72793,0.2,ML,4
716203,57,N,7,37,58072.0,R7.3,19.117,34.059539,-117.80467800000001,0.56,ML,3
716206,60,W,7,37,44000.0,R.8,0.9740000000000001,34.029065,-118.211497,0.54,ML,3
716213,60,E,7,37,,R3.08,3.2539999999999996,34.034994,-118.173285,0.47,ML,4
716235,60,E,7,37,,11.57,11.710999999999999,34.034890999999995,-118.02941100000001,0.56,ML,4
716237,60,E,7,37,,12.1,12.241,34.031123,-118.02136000000002,0.535,ML,6
716238,60,W,7,37,,12.1,12.241,34.03138,-118.02126000000001,0.569,ML,5
716241,60,W,7,37,,14.98,15.120999999999999,34.012079,-117.98002199999999,0.45,ML,4
716253,60,W,7,37,,18.35,18.491,33.996291,-117.92463300000001,0.25,ML,4
716254,60,E,7,37,,18.35,18.491,33.996031,-117.924675,0.18,ML,4
716265,60,E,7,37,36490.0,R22.3,22.441,33.998463,-117.85653300000001,0.405,ML,4
716272,91,E,7,37,44000.0,6.12,0.10800000000000001,33.872586,-118.289005,0.33299999999999996,ML,3
716273,91,E,7,37,44000.0,R6.56,0.5579999999999999,33.872636,-118.2812,0.525,ML,3
716295,91,W,7,37,43000.0,R12.57,6.568,33.876996999999996,-118.177986,0.405,ML,5
716296,91,E,7,37,43000.0,R12.57,6.568,33.876767,-118.177981,0.53,ML,5
716311,91,W,7,37,4982.0,R16.22,10.218,33.876731,-118.11491799999999,0.52,ML,5
716312,91,E,7,37,4982.0,R16.22,10.218,33.876464,-118.11496100000001,0.52,ML,6
716313,91,E,7,37,12552.0,R16.8,10.798,33.876234000000004,-118.10496100000002,0.575,ML,3
716314,91,W,7,37,12552.0,R16.8,10.798,33.876465,-118.104925,0.575,ML,4
716328,101,S,7,37,44000.0,2.08,3.428,34.067067,-118.25468799999999,0.365,ML,4
716331,101,S,7,37,44000.0,2.56,3.908,34.070002,-118.262279,0.355,ML,4
716337,101,N,7,37,44000.0,3.84,5.188,34.077518,-118.282724,0.46,ML,4
716339,101,S,7,37,44000.0,4.2,5.547999999999999,34.078365000000005,-118.288977,0.525,ML,4
716359,101,N,7,37,44000.0,10.53,11.878,34.139643,-118.36513899999999,0.565,ML,5
716390,101,S,7,37,90310.0,29.5,30.831999999999997,34.149135,-118.672472,0.79,ML,5
716391,101,S,7,37,90310.0,30,31.331999999999997,34.151032,-118.680765,0.76,ML,4
716392,101,S,7,37,90310.0,31.02,32.352,34.148835999999996,-118.69739399999999,0.6,ML,4
716402,105,W,7,37,44000.0,R.6,0.6,33.931618,-118.39443500000002,0.75,ML,3
716404,105,W,7,37,44000.0,R.9,0.9,33.931388,-118.389223,0.35,ML,3
716405,105,W,7,37,44000.0,R1.3,1.3,33.931349,-118.382283,0.45,ML,4
716407,105,W,7,37,44000.0,R1.8,1.8,33.93015,-118.37377099999999,0.65,ML,3
716409,105,W,7,37,32548.0,R2.6,2.6,33.932384000000006,-118.3602,0.75,ML,3
716413,105,W,7,37,32548.0,R4,4.0,33.926558,-118.33864299999999,0.6,ML,4
716414,105,E,7,37,36546.0,R4.2,4.2,33.924911,-118.33553700000002,0.5,ML,4
716419,105,E,7,37,32548.0,R5.5,5.5,33.925238,-118.313092,0.55,ML,4
716420,105,W,7,37,32548.0,R5.5,5.5,33.925579,-118.313116,0.6,ML,4
716421,105,E,7,37,,R6,6.0,33.926392,-118.304528,0.55,ML,4
716422,105,W,7,37,,R6,6.0,33.926753999999995,-118.304542,0.5,ML,4
716424,105,E,7,37,,R6.6,6.6,33.928424,-118.29444,0.6,ML,5
716426,105,W,7,37,44000.0,R7.1,7.1,33.928915,-118.28576100000001,0.495,ML,4
716427,105,E,7,37,44000.0,R7.8,7.8,33.927890999999995,-118.273645,0.32,ML,3
716428,105,W,7,37,44000.0,R7.8,7.8,33.928261,-118.273648,0.55,ML,3
716431,105,E,7,37,44000.0,R8.2,8.2,33.927305,-118.266557,0.3,ML,4
716433,105,E,7,37,44000.0,R8.4,8.4,33.927289,-118.263121,0.3,ML,4
716434,105,W,7,37,44000.0,R8.4,8.4,33.927654,-118.263124,0.3,ML,4
716437,105,W,7,37,,R9.5,9.5,33.928838,-118.244115,0.65,ML,3
716440,105,E,7,37,,R10.5,10.5,33.929161,-118.226832,0.6,ML,3
716441,105,W,7,37,,R10.5,10.5,33.929479,-118.226883,0.4,ML,3
716442,105,E,7,37,,R10.9,10.9,33.929097999999996,-118.220055,0.6,ML,3
716443,105,W,7,37,,R10.9,10.9,33.929386,-118.220032,0.45,ML,3
716448,105,W,7,37,44574.0,R12.1,12.1,33.921331,-118.201425,0.5,ML,3
716449,105,E,7,37,44574.0,R12.6,12.6,33.917730999999996,-118.194032,0.65,ML,4
716450,105,W,7,37,44574.0,R12.6,12.6,33.918043,-118.19386499999999,0.455,ML,4
716453,105,E,7,37,44574.0,R13.8,13.8,33.911105,-118.17461899999999,0.305,ML,3
716456,105,E,7,37,55618.0,R14.4,14.4,33.91131,-118.164179,0.47,ML,5
716457,105,W,7,37,55618.0,R14.4,14.4,33.911652000000004,-118.164198,0.55,ML,5
716459,105,W,7,37,73080.0,R14.9,14.9,33.912440999999994,-118.155588,0.45,ML,3
716460,105,E,7,37,73080.0,R15.3,15.3,33.912739,-118.148633,0.4,ML,3
716461,105,W,7,37,73080.0,R15.3,15.3,33.913022999999995,-118.14867199999999,0.35,ML,3
716466,105,E,7,37,19766.0,R16.3,16.3,33.912952000000004,-118.131271,0.45,ML,3
716470,105,E,7,37,19766.0,R17.3,17.3,33.913689,-118.113948,0.665,ML,4
716471,105,W,7,37,19766.0,R17.3,17.3,33.914009,-118.113945,0.55,ML,4
716481,110,S,7,37,44000.0,9.36,9.29,33.865396000000004,-118.28508300000001,0.67,ML,3
716484,110,N,7,37,44000.0,10.71,10.64,33.884861,-118.28515300000001,0.77,ML,5
716485,110,S,7,37,44000.0,10.71,10.64,33.884865999999995,-118.28555,0.555,ML,6
716490,110,N,7,37,44000.0,12.24,12.17,33.90698,-118.286419,0.445,ML,5
716491,110,S,7,37,44000.0,12.24,12.17,33.906991,-118.28675600000001,0.515,ML,5
716494,110,S,7,37,44000.0,13.13,13.06,33.919393,-118.284015,0.32,ML,5
716495,110,N,7,37,44000.0,13.13,13.06,33.919346000000004,-118.28358899999999,0.27,ML,5
716499,110,N,7,37,44000.0,15.36,15.29,33.951161,-118.279899,0.39,ML,5
716500,110,S,7,37,44000.0,15.36,15.29,33.95115,-118.280258,0.795,ML,6
716551,134,W,7,37,30000.0,R6,5.983,34.154235,-118.27415900000001,0.556,ML,4
716554,134,W,7,37,30000.0,R6.52,6.502999999999999,34.156197999999996,-118.265345,0.355,ML,4
716571,170,S,7,37,44000.0,R18.19,5.276,34.19999,-118.40341299999999,1.16,ML,4
716573,170,S,7,37,44000.0,R19.8,6.886,34.222738,-118.41053600000001,0.325,ML,3
716626,405,S,7,37,43000.0,2.74,26.688000000000002,33.802703,-118.13338999999999,0.26,ML,5
716632,405,N,7,37,43000.0,3.82,27.768,33.807173,-118.15098300000001,0.385,ML,5
716659,405,N,7,37,11530.0,11.82,35.592,33.845809,-118.269724,0.365,ML,5
716660,405,S,7,37,11530.0,12.05,35.821999999999996,33.847883,-118.27288899999999,0.375,ML,5
716663,405,N,7,37,,13.18,36.952,33.858551,-118.28776599999999,0.355,ML,4
716670,405,N,7,37,80000.0,14.96,38.732,33.862176,-118.318174,0.545,ML,4
716674,405,S,7,37,80000.0,16,39.772,33.867121999999995,-118.33534399999999,0.48,ML,4
716689,405,N,7,37,32548.0,19.57,43.342,33.906863,-118.370302,0.385,ML,5
716694,405,N,7,37,,20.6,44.372,33.921751,-118.368902,0.488,ML,5
716714,405,N,7,37,44000.0,28.52,52.292,34.018964000000004,-118.42366000000001,0.22,ML,5
716719,405,S,7,37,44000.0,30.47,54.242,34.042214,-118.442698,0.335,ML,5
716720,405,N,7,37,44000.0,30.47,54.242,34.042287,-118.44248999999999,0.41,ML,6
716733,405,N,7,37,44000.0,35.8,59.571999999999996,34.110479999999995,-118.48148799999998,0.59,ML,5
716738,405,N,7,37,44000.0,37.57,61.342,34.133767,-118.472292,0.605,ML,6
716739,405,N,7,37,44000.0,38.14,61.912,34.141958,-118.471286,0.425,ML,6
716760,605,N,7,37,39892.0,R2.28,4.332,33.838278,-118.08788500000001,0.47,ML,4
716775,605,S,7,37,12552.0,R4.31,6.362,33.866067,-118.09886200000001,0.535,ML,5
716776,605,S,7,37,12552.0,R4.9,6.952000000000001,33.87427,-118.10189299999999,0.56,ML,4
716778,605,S,7,37,12552.0,R5.43,7.482,33.881753,-118.104077,0.42,ML,6
716784,605,N,7,37,12552.0,R6.29,8.342,33.894296999999995,-118.104669,0.465,ML,5
716788,605,N,7,37,52526.0,R6.93,8.982000000000001,33.903565,-118.10513,0.24,ML,5
716797,605,S,7,37,19766.0,R9.75,11.802,33.942966999999996,-118.095825,0.598,ML,3
716800,605,N,7,37,69154.0,R10.91,12.962,33.958124,-118.087014,0.557,ML,4
716810,605,S,7,37,,R13,15.052,33.985594,-118.07201200000002,0.45299999999999996,ML,4
716819,605,N,7,37,,R14.89,16.942,34.009316,-118.057906,0.473,ML,4
716829,605,N,7,37,36490.0,R17.1,19.152,34.030914,-118.031047,0.97,ML,3
716834,605,N,7,37,,R19.365,21.416999999999998,34.053746000000004,-118.00446399999998,0.401,ML,4
716841,605,N,7,37,36826.0,23.952,26.004,34.114761,-117.977832,0.426,ML,4
716847,710,S,7,37,43000.0,13.11,8.15,33.877433,-118.192776,0.665,ML,4
716857,710,S,7,37,44574.0,R16.5,11.54,33.924409000000004,-118.177989,0.493,ML,5
716875,710,S,7,37,,23.707,18.714000000000002,34.022791,-118.172955,0.265,ML,4
716891,710,S,7,37,14974.0,23.16,18.167,34.014955,-118.172721,0.435,ML,3
716895,5,S,7,37,19766.0,8.93,125.5,33.963867,-118.11986999999999,0.575,ML,4
716896,5,N,7,37,40032.0,.71,117.34299999999999,33.880305,-118.02168999999999,0.455,ML,4
716898,5,S,7,37,40032.0,1.06,117.63,33.882892,-118.026822,0.66,ML,3
716899,5,N,7,37,40032.0,1.11,117.743,33.8834,-118.027451,0.425,ML,3
716900,5,N,7,37,69154.0,1.56,118.193,33.886992,-118.034125,0.46,ML,3
716906,5,S,7,37,52526.0,3.62,120.19,33.903960999999995,-118.06404599999999,0.5,ML,3
716907,5,S,7,37,52526.0,3.28,119.85,33.900669,-118.059422,0.41,ML,3
716908,5,S,7,37,52526.0,4.28,120.85,33.911074,-118.07168600000001,0.8,ML,3
716912,5,S,7,37,52526.0,5.22,121.79,33.920763,-118.08250100000001,1.18,ML,3
716916,5,S,7,37,19766.0,8.21,124.78,33.956897,-118.110532,0.275,ML,4
716918,5,S,7,37,19766.0,8.35,124.92,33.958225,-118.11238999999999,0.36,ML,4
716920,5,S,7,37,14974.0,9.87,126.44,33.976459999999996,-118.12595300000001,0.415,ML,4
716921,5,N,7,37,14974.0,9.87,126.50299999999999,33.976554,-118.125758,0.415,ML,4
716922,5,S,7,37,14974.0,10.76,127.33,33.986224,-118.13601399999999,0.485,ML,4
716923,5,N,7,37,14974.0,10.72,127.353,33.985955,-118.135337,0.485,ML,4
716924,5,S,7,37,14974.0,11.54,128.11,33.994935,-118.14469,0.44,ML,4
716925,5,N,7,37,14974.0,11.54,128.173,33.995022999999996,-118.14451299999999,0.44,ML,4
716928,5,S,7,37,14974.0,12.68,129.25,34.007591999999995,-118.15726599999999,0.42100000000000004,ML,4
716929,5,N,7,37,14974.0,12.63,129.263,34.007196,-118.156466,0.42100000000000004,ML,4
716930,5,S,7,37,14974.0,13.35,129.92,34.013529,-118.166192,0.32299999999999995,ML,4
716933,5,N,7,37,,14.35,130.983,34.020076,-118.181702,0.565,ML,5
716934,5,S,7,37,,14.34,130.91,34.019878999999996,-118.18158799999999,0.546,ML,5
716936,5,S,7,37,,14.763,131.333,34.020088,-118.189029,0.4,ML,5
716937,5,N,7,37,44000.0,15.77,132.403,34.025295,-118.205056,0.495,ML,5
716939,5,S,7,37,44000.0,17.44,134.01,34.041407,-118.218373,0.72,ML,5
716940,5,S,7,37,44000.0,17.93,134.5,34.047784,-118.214638,0.575,ML,5
716941,5,S,7,37,44000.0,18.59,135.16,34.057314,-118.214378,0.39,ML,4
716942,5,N,7,37,44000.0,18.71,135.343,34.05905,-118.21448799999999,1.935,ML,5
716943,5,S,7,37,44000.0,18.71,135.28,34.059006,-118.214706,0.43,ML,4
716944,5,S,7,37,44000.0,19.45,136.02,34.069368,-118.217386,0.81,ML,4
716946,5,S,7,37,44000.0,20.33,136.9,34.080943,-118.22237,0.625,ML,3
716949,5,S,7,37,44000.0,20.7,137.27,34.083197999999996,-118.22821299999998,0.57,ML,5
716951,5,N,7,37,44000.0,21.1,137.733,34.086881,-118.23361100000001,0.735,ML,4
716953,5,N,7,37,44000.0,21.8,138.433,34.094038,-118.242314,0.465,ML,5
716955,5,S,7,37,44000.0,21.93,138.5,34.095413,-118.24395700000001,0.465,ML,5
716956,5,N,7,37,44000.0,23.2,139.833,34.108429,-118.258982,0.55,ML,5
716958,5,S,7,37,44000.0,23.58,140.15,34.111314,-118.264526,0.7040000000000001,ML,5
716960,5,S,7,37,44000.0,24.168,140.738,34.118291,-118.27016599999999,0.48,ML,4
716963,5,N,7,37,30000.0,27.77,144.403,34.164088,-118.29556799999999,0.36,ML,4
716965,5,S,7,37,30000.0,27.7,144.27,34.163197,-118.29496999999999,0.27,ML,4
716968,5,N,7,37,30000.0,27.92,144.553,34.165484,-118.29753000000001,0.315,ML,4
716971,5,N,7,37,8954.0,28.4,145.033,34.17007,-118.30383700000002,0.265,ML,4
716973,5,N,7,37,8954.0,28.45,145.083,34.170572,-118.30448,0.435,ML,4
716974,5,N,7,37,8954.0,29.27,145.903,34.179879,-118.31240700000001,0.76,ML,4
716975,5,S,7,37,8954.0,29.89,146.46,34.186308000000004,-118.319601,0.505,ML,4
716977,5,S,7,37,8954.0,29.68,146.25,34.184490999999994,-118.31673300000001,0.495,ML,4
716978,5,N,7,37,8954.0,29.97,146.60299999999998,34.187037,-118.320656,0.71,ML,4
716979,5,S,7,37,8954.0,30.69,147.26,34.19381,-118.33029199999999,0.765,ML,4
716981,5,N,7,37,8954.0,30.69,147.32299999999998,34.193931,-118.33008600000001,0.72,ML,4
716983,5,S,7,37,8954.0,31.42,147.99,34.200916,-118.339473,0.795,ML,4
716985,5,N,7,37,8954.0,31.41,148.043,34.200877,-118.33918500000001,0.86,ML,4
716986,5,S,7,37,44000.0,32.28,148.85,34.211259000000005,-118.347597,0.905,ML,4
716988,5,N,7,37,44000.0,32.41,149.043,34.212728000000006,-118.34904099999999,1.155,ML,4
716989,5,S,7,37,44000.0,33.23,149.8,34.221104,-118.358957,0.65,ML,4
716990,5,N,7,37,44000.0,33.72,150.35299999999998,34.222169,-118.3673,0.915,ML,4
716991,5,S,7,37,44000.0,33.58,150.15,34.221821999999996,-118.364915,0.505,ML,4
716993,5,S,7,37,44000.0,34.24,150.81,34.225778000000005,-118.375075,0.65,ML,4
716994,5,N,7,37,44000.0,34.24,150.873,34.225945,-118.374982,0.51,ML,4
716996,5,S,7,37,44000.0,34.88,151.45,34.226376,-118.38592299999999,0.415,ML,4
716997,5,N,7,37,44000.0,35.07,151.703,34.227092999999996,-118.38900600000001,0.55,ML,4
716999,5,S,7,37,44000.0,35.07,151.64,34.226944,-118.38904199999999,0.48,ML,4
717000,5,N,7,37,44000.0,35.84,152.47299999999998,34.231273,-118.40133999999999,0.84,ML,4
717001,5,S,7,37,44000.0,35.84,152.41,34.231047,-118.401401,0.84,ML,4
717002,5,S,7,37,44000.0,36.75,153.32,34.23742,-118.414827,0.54,ML,4
717004,5,S,7,37,44000.0,37.47,154.04,34.245149,-118.422992,0.27,ML,6
717006,5,S,7,37,44000.0,37.84,154.41,34.249183,-118.42725700000001,0.435,ML,6
717008,10,E,7,37,44000.0,R6.73,4.575,34.030709,-118.41147,0.36,ML,5
717009,10,E,7,37,44000.0,R7.22,5.065,34.029516,-118.40301399999998,0.535,ML,5
717011,10,E,7,37,44000.0,R7.99,5.835,34.031182,-118.390169,0.28,ML,5
717012,10,W,7,37,44000.0,R8.36,6.205,34.034476,-118.38503,0.46,ML,4
717014,10,E,7,37,44000.0,R8.75,6.595,34.036846999999995,-118.37911399999999,0.325,ML,4
717015,10,W,7,37,44000.0,R8.73,6.575,34.036959,-118.379466,0.425,ML,4
717016,10,E,7,37,44000.0,R9.01,6.855,34.036314000000004,-118.37479599999999,0.23,ML,4
717019,10,W,7,37,44000.0,R9.21,7.055,34.03577,-118.37136799999999,0.535,ML,4
717020,10,E,7,37,44000.0,R9.21,7.055,34.035587,-118.37145100000001,0.25,ML,4
717022,10,E,7,37,44000.0,R9.51,7.355,34.034495,-118.366371,0.295,ML,5
717026,10,W,7,37,44000.0,R10.53,8.375,34.03448,-118.34866699999999,0.15,ML,4
717028,10,E,7,37,44000.0,R10.53,8.375,34.034193,-118.34865500000001,0.2,ML,4
717029,10,W,7,37,44000.0,R10.7,8.545,34.034617,-118.345712,0.265,ML,4
717031,10,W,7,37,44000.0,R11.06,8.905,34.034894,-118.339451,0.25,ML,5
717032,10,E,7,37,44000.0,R11.54,9.385,34.035074,-118.33108,0.585,ML,5
717033,10,W,7,37,44000.0,R11.53,9.375,34.035298,-118.33126499999999,0.515,ML,5
717035,10,E,7,37,44000.0,R12.23,10.075,34.036382,-118.319158,0.455,ML,5
717036,10,W,7,37,44000.0,R12.58,10.425,34.037228000000006,-118.31313,0.235,ML,4
717039,10,E,7,37,44000.0,R12.95,10.795,34.036945,-118.306723,0.43,ML,5
717040,10,W,7,37,44000.0,R12.95,10.795,34.037253,-118.30671299999999,0.255,ML,4
717041,10,W,7,37,44000.0,R13.21,11.055,34.037222,-118.302221,0.29,ML,4
717042,10,E,7,37,44000.0,R13.53,11.375,34.03682,-118.29671299999998,0.255,ML,4
717043,10,W,7,37,44000.0,R13.66,11.505,34.037096000000005,-118.294389,0.21,ML,5
717045,10,W,7,37,44000.0,14.12,11.965,34.037067,-118.286318,0.275,ML,6
717046,10,E,7,37,44000.0,14.12,11.965,34.036840999999995,-118.28628700000002,0.145,ML,5
717047,10,W,7,37,44000.0,S.52,16.759,34.055356,-118.216546,0.306,ML,3
717049,10,W,7,37,44000.0,18.53,17.03,34.05498,-118.211804,0.245,ML,3
717052,10,W,7,37,44000.0,18.75,17.25,34.053995,-118.20821799999999,0.185,ML,4
717055,10,W,7,37,44000.0,18.9,17.4,34.053753,-118.205692,0.28,ML,4
717059,10,E,7,37,44000.0,19.31,17.81,34.055193,-118.19878500000002,0.315,ML,6
717060,10,W,7,37,44000.0,19.31,17.81,34.055448,-118.19888,0.38,ML,6
717065,10,W,7,37,,20.79,19.29,34.060186,-118.174504,0.19,ML,4
717070,10,E,7,37,48914.0,21.25,19.75,34.061277000000004,-118.16724599999999,0.25,ML,4
717071,10,W,7,37,884.0,21.72,20.22,34.063934,-118.16016299999998,0.39,ML,3
717073,10,W,7,37,884.0,22.3,20.8,34.068501,-118.15141799999999,0.395,ML,4
717075,10,E,7,37,884.0,23.38,21.88,34.071342,-118.133569,0.32,ML,4
717077,10,E,7,37,884.0,23.29,21.79,34.071335,-118.13515500000001,0.235,ML,4
717079,10,W,7,37,884.0,23.29,21.79,34.071644,-118.135158,0.28,ML,4
717081,10,W,7,37,884.0,23.38,21.88,34.071661999999996,-118.133572,0.33,ML,4
717083,10,E,7,37,884.0,24.029,22.529,34.071459999999995,-118.12223,0.195,ML,4
717084,10,E,7,37,884.0,24.32,22.82,34.071574,-118.11718,0.37,ML,4
717087,10,W,7,37,884.0,23.95,22.45,34.071803,-118.123604,0.33,ML,4
717089,10,E,7,37,884.0,23.93,22.43,34.071438,-118.123947,0.325,ML,4
717091,10,W,7,37,884.0,24.04,22.54,34.071819,-118.12203999999998,0.18,ML,4
717093,10,E,7,37,884.0,24.77,23.27,34.071665,-118.10937,0.275,ML,4
717095,10,W,7,37,884.0,24.8,23.3,34.072021,-118.10883799999999,0.29,ML,4
717097,10,E,7,37,48914.0,24.87,23.37,34.07168,-118.10763500000002,0.245,ML,4
717099,134,W,7,37,30000.0,R7.69,7.672999999999999,34.156447,-118.245195,0.855,ML,4
717101,10,W,7,37,48914.0,24.89,23.39,34.072053000000004,-118.107276,0.235,ML,4
717105,10,E,7,37,48914.0,25.26,23.76,34.071731,-118.100852,0.26,ML,4
717108,10,W,7,37,67042.0,25.27,23.77,34.072192,-118.100669,0.25,ML,4
717110,10,E,7,37,62896.0,25.39,23.89,34.071766,-118.098584,0.255,ML,4
717112,10,W,7,37,62896.0,25.39,23.89,34.072117999999996,-118.09858,0.265,ML,4
717114,10,E,7,37,62896.0,25.77,24.27,34.071834,-118.091958,0.25,ML,4
717116,10,W,7,37,62896.0,25.8,24.3,34.072221,-118.091434,0.255,ML,4
717119,10,W,7,37,62896.0,25.9,24.4,34.072253,-118.08969099999999,0.24600000000000002,ML,4
717121,10,W,7,37,62896.0,26.292,24.791999999999998,34.072342,-118.082856,0.445,ML,4
717123,10,E,7,37,62896.0,26.31,24.81,34.071945,-118.08254299999999,0.45,ML,4
717125,10,W,7,37,62896.0,26.79,25.29,34.072457,-118.074173,0.309,ML,4
717127,10,E,7,37,62896.0,26.79,25.29,34.072071,-118.074173,0.315,ML,4
717129,10,W,7,37,22230.0,26.91,25.41,34.072494,-118.07208,0.17,ML,4
717131,10,E,7,37,22230.0,26.94,25.44,34.072083,-118.071554,0.165,ML,4
717133,10,E,7,37,22230.0,27.12,25.62,34.072106,-118.068405,0.445,ML,4
717134,10,W,7,37,22230.0,27.13,25.63,34.07251,-118.068233,0.36,ML,4
717135,10,W,7,37,22230.0,27.63,26.13,34.072661,-118.059491,0.48,ML,4
717136,10,E,7,37,22230.0,27.83,26.33,34.072292,-118.05598799999999,0.485,ML,5
717139,10,W,7,37,22230.0,28.09,26.59,34.072302,-118.05153500000002,0.465,ML,4
717142,10,W,7,37,22230.0,28.56,27.06,34.069271,-118.044184,0.505,ML,4
717143,605,N,7,37,39892.0,R2.79,4.842,33.844957,-118.091715,0.325,ML,4
717146,10,E,7,37,22230.0,28.78,27.28,34.06847,-118.040429,0.505,ML,4
717150,10,W,7,37,22230.0,29.34,27.84,34.068078,-118.03066299999999,0.256,ML,5
717152,10,E,7,37,22230.0,29.51,28.01,34.067963,-118.02774299999999,0.44,ML,4
717154,10,W,7,37,22230.0,29.611,28.111,34.068199,-118.025926,0.32,ML,5
717155,10,E,7,37,22230.0,29.98,28.48,34.066990000000004,-118.019773,0.59,ML,4
717156,10,E,7,37,22230.0,30.69,29.19,34.063981,-118.008051,0.66,ML,4
717157,10,W,7,37,22230.0,30.69,29.19,34.064175,-118.00801299999999,0.66,ML,4
717160,10,W,7,37,3666.0,31.72,30.22,34.066554,-117.990356,0.455,ML,4
717162,10,W,7,37,3666.0,32.21,30.71,34.067663,-117.981905,0.305,ML,4
717165,10,E,7,37,3666.0,32.31,30.81,34.06769,-117.98013799999998,0.25,ML,4
717167,10,W,7,37,3666.0,32.33,30.83,34.067904999999996,-117.979831,0.145,ML,4
717169,10,W,7,37,3666.0,32.81,31.31,34.069010999999996,-117.97155500000001,0.49,ML,4
717171,10,W,7,37,3666.0,33.48,31.98,34.07049,-117.959994,0.595,ML,4
717174,10,E,7,37,3666.0,33.46,31.96,34.070282,-117.960307,0.75,ML,4
717176,10,W,7,37,84200.0,34.36,32.86,34.072082,-117.94475,0.45,ML,4
717179,10,E,7,37,84200.0,34.44,32.94,34.072075,-117.943345,0.45,ML,4
